id,popularity,original_title,cast,director,runtime,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj,month,day
135397,32.985763,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124.0,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,6,9
76341,28.419936,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120.0,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,5,13
262500,13.112507,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,119.0,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015,101199955.47201899,271619025.407628,3,18
140607,11.173103999999999,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136.0,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,12,15
168259,9.335014,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,137.0,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015,174799923.08803302,1385748801.47052,4,1
281957,9.1107,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156.0,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.02173096,12,25
87101,8.654359,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,125.0,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,6,23
286217,7.6674,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141.0,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.3101519,9,30
211672,7.40416499999999,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,91.0,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.7955099,6,17
150540,6.326804,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,94.0,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.16003102,785411574.698907,6,9
206647,6.200282,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,148.0,Columbia Pictures|Danjaq|B24,3254,6.2,2015,225399900.824043,810220283.783075,10,26
76757,6.189369,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,124.0,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802,2,4
264660,6.118847,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,108.0,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015,13799993.9280026,33919845.9552677,1,21
257344,5.984995,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105.0,Columbia Pictures|Happy Madison Productions,1575,5.8,2015,80959964.37761559,224146025.095748,7,16
99861,5.944927,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141.0,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015,257599886.656049,1292632336.88177,4,22
